task_id,phase,method,k,n,settled_effect_error_mean,immediate_effect_error_mean,contact_mode_preservation,task_progress_preservation_005,task_progress_mae,action_reconstruction_error_mean,codebook_utilization,dead_code_ratio,clipped_coordinate_rate
bowl_on_plate,contact_onset,caaa_v2,32,48,3953.1709699989647,4090.6759260109698,0.5416666666666666,0.8958333333333334,0.02626883843010419,1.0093750772251426,0.03125,0.96875,0.8958333333333334
bowl_on_plate,contact_onset,caaa_v2,64,192,12434.98519914769,3646.88945985734,0.71875,0.859375,0.02338707022725892,0.9959630304728408,0.015625,0.984375,0.9565972222222222
bowl_on_plate,contact_onset,caaa_v2,128,48,26959.30080918176,3793.8829128275497,0.4583333333333333,0.9375,0.026737691130935753,1.0044917285165313,0.0078125,0.9921875,0.90625
bowl_on_plate,contact_onset,covariance_mahalanobis,32,48,1886.4820585433981,2039.9915269069345,0.8958333333333334,0.8125,0.017826158346491146,0.1702688522512024,0.125,0.875,0.0
bowl_on_plate,contact_onset,covariance_mahalanobis,64,192,643.2912153749477,675.0063728968998,0.8177083333333334,1.0,0.00981669284361101,0.11564785092325665,0.109375,0.890625,0.0
bowl_on_plate,contact_onset,covariance_mahalanobis,128,48,1721.0807163741035,1857.9973428212415,0.9791666666666666,1.0,0.011468311514202018,0.15081892250245788,0.0859375,0.9140625,0.0
bowl_on_plate,contact_onset,euclidean_farthest,32,48,510.25695858650323,577.9895785535203,0.9791666666666666,1.0,0.007592128082702924,0.11978534704992104,0.09375,0.90625,0.0
bowl_on_plate,contact_onset,euclidean_farthest,64,192,692.7369243916663,585.2503868840244,0.9947916666666666,1.0,0.011116238967951888,0.09451695404632325,0.125,0.875,0.0
bowl_on_plate,contact_onset,euclidean_farthest,128,48,408.7135147677775,444.0712073459752,1.0,1.0,0.006986792441607725,0.08582741770602716,0.0546875,0.9453125,0.0
bowl_on_plate,contact_onset,global_kmeans,32,48,627.6167445923224,640.2102365355413,1.0,1.0,0.010609160845949017,0.09020718804669377,0.15625,0.84375,0.0
bowl_on_plate,contact_onset,global_kmeans,64,192,600.6337539019277,647.7864342129006,0.9895833333333334,1.0,0.010287303070968954,0.08504298100593206,0.09375,0.90625,0.0
bowl_on_plate,contact_onset,global_kmeans,128,48,621.2719633063872,619.8565309393516,1.0,1.0,0.010348103181286006,0.08468847425038924,0.0546875,0.9453125,0.0
bowl_on_plate,contact_onset,old_diagonal_sensitivity,32,48,2835.65924963747,2512.1958277379435,0.6041666666666666,1.0,0.016200387062976832,0.5590672213498968,0.03125,0.96875,0.2604166666666667
bowl_on_plate,contact_onset,old_diagonal_sensitivity,64,192,1891.8221192793128,2006.397496906108,0.8229166666666666,1.0,0.017515180353203604,0.38885737184063035,0.015625,0.984375,0.07313368055555555
bowl_on_plate,contact_onset,old_diagonal_sensitivity,128,48,2312.890327192989,2284.9287927064124,1.0,0.9791666666666666,0.02184242111989344,0.37980480937948985,0.0078125,0.9921875,0.052083333333333336
bowl_on_plate,contact_onset,pca_kmeans,32,48,668.2381236667692,590.3198748855801,0.9791666666666666,1.0,0.011002265736106699,0.08267378154154088,0.09375,0.90625,0.0
bowl_on_plate,contact_onset,pca_kmeans,64,192,656.542957024129,477.84265124938383,0.984375,1.0,0.010984247963065763,0.09102470997642813,0.125,0.875,0.0
bowl_on_plate,contact_onset,pca_kmeans,128,48,672.1487386879029,454.97163048060656,0.9791666666666666,1.0,0.01111539726752952,0.08936163271995277,0.0703125,0.9296875,0.0
bowl_on_plate,contact_onset,permuted_j,32,48,5695.261324806185,3323.1132599970674,0.75,0.25,0.08743318792628936,1.0391312344838965,0.03125,0.96875,1.0
bowl_on_plate,contact_onset,permuted_j,64,192,5236.380040797428,3212.828493308749,0.75,0.25,0.07733806826933491,1.0330214506173194,0.015625,0.984375,1.0
bowl_on_plate,contact_onset,permuted_j,128,48,4185.908859628019,2958.425619160109,0.5,0.75,0.02614073117511855,1.0205688495437482,0.0078125,0.9921875,0.9791666666666666
bowl_on_plate,contact_onset,phase_conditioned_kmeans,32,48,512.1758294471307,559.0310141243091,0.9791666666666666,1.0,0.009254494426822324,0.08588928836264907,0.1875,0.8125,0.0
bowl_on_plate,contact_onset,phase_conditioned_kmeans,64,192,520.0443134061456,557.762905198161,0.984375,1.0,0.009209708042208187,0.08603068266326895,0.140625,0.859375,0.0
bowl_on_plate,contact_onset,phase_conditioned_kmeans,128,48,478.1091060774525,553.0269378079905,1.0,1.0,0.00840402754658956,0.08538903526285063,0.0859375,0.9140625,0.0
bowl_on_plate,contact_onset,random_spd,32,48,2042.7408184791013,2057.825182230423,0.875,0.9791666666666666,0.019100921871190803,0.20289658933543767,0.03125,0.96875,0.0
bowl_on_plate,contact_onset,random_spd,64,192,1921.0280279417875,2017.05258033296,0.875,0.9479166666666666,0.017775808104747798,0.20234849557865942,0.015625,0.984375,0.0
bowl_on_plate,contact_onset,random_spd,128,48,2045.351400543088,2075.0800411603636,0.75,0.9791666666666666,0.018459040015995437,0.1975416988174655,0.015625,0.984375,0.0
bowl_on_plate,free_space,caaa_v2,32,48,266.2534815869697,268.1221699658068,1.0,1.0,1.3877787807814457e-17,1.0720979217412527,0.03125,0.96875,1.0
