candidate_distance_spearman,context_modulation_norm,inference_latency_ms,kendall_tau,level,method,metric_condition_number,n,ndcg_at_16,oracle_neighbor_recall_at_1,oracle_neighbor_recall_at_8,oracle_regret,pairwise_accuracy,phase,task_id
0.0446824408446,0,0.00759304435986,0.0323771931907,pooled,B1_ACTION_ONLY__K64,1.06559240818,15360,0.371209619647,0.0399739583333,0.0939208984375,0.28181844388,0.516188596595,ALL,ALL
0.0357689498225,0,0.00759304435986,0.0257397112381,task,B1_ACTION_ONLY__K64,1.06559240818,3840,0.360401669919,0.03828125,0.0951822916667,0.292156593492,0.512869855619,ALL,bowl_on_plate
0.0565150851456,0,0.00759304435986,0.040962603369,task,B1_ACTION_ONLY__K64,1.06559240818,3840,0.351743002964,0.0369791666667,0.0933268229167,0.274026954962,0.520481301685,ALL,plate_push
0.0629578806779,0,0.00759304435986,0.0457469394475,task,B1_ACTION_ONLY__K64,1.06559240818,3840,0.37418414232,0.0403645833333,0.0892903645833,0.278047170675,0.522873469724,ALL,stove_turn_on
0.0234878477323,0,0.00759304435986,0.0170595187082,task,B1_ACTION_ONLY__K64,1.06559240818,3840,0.398509663384,0.0442708333333,0.0978841145833,0.283043056391,0.508529759354,ALL,wine_rack
0.0934516178199,0,0.00759304435986,0.0674578911934,phase,B1_ACTION_ONLY__K64,1.06559240818,3840,0.679241738827,0.0325520833333,0.09990234375,0.0375820592774,0.533728945597,free_space,ALL
0.0213444224727,0,0.00759304435986,0.0154670447497,phase,B1_ACTION_ONLY__K64,1.06559240818,3840,0.273407664308,0.04375,0.09658203125,0.357733475467,0.507733522375,pre_contact,ALL
0.0288289759256,0,0.00759304435986,0.0210912689922,phase,B1_ACTION_ONLY__K64,1.06559240818,3840,0.267294522783,0.040625,0.08603515625,0.348755369445,0.510545634496,contact_onset,ALL
0.0351047471601,0,0.00759304435986,0.0254925678275,phase,B1_ACTION_ONLY__K64,1.06559240818,3840,0.264894552669,0.04296875,0.0931640625,0.383202871331,0.512746283914,post_contact,ALL
0.638958620809,0,0.0040036230252,0.491226381541,pooled,B2_STATIC_CONSEQUENCE__FULL,1.04927885532,15360,0.61043080667,0.213606770833,0.366813151042,0.187536005751,0.745613190771,ALL,ALL
0.605099952929,0,0.0040036230252,0.464583233595,task,B2_STATIC_CONSEQUENCE__FULL,1.04927885532,3840,0.588643677045,0.211197916667,0.356803385417,0.204112300672,0.732291616798,ALL,bowl_on_plate
0.689928470264,0,0.0040036230252,0.54401629509,task,B2_STATIC_CONSEQUENCE__FULL,1.04927885532,3840,0.584623050104,0.207291666667,0.3650390625,0.179899866852,0.772008147545,ALL,plate_push
0.644960203661,0,0.0040036230252,0.485632244859,task,B2_STATIC_CONSEQUENCE__FULL,1.04927885532,3840,0.640939722458,0.209375,0.367643229167,0.141403230471,0.742816122429,ALL,stove_turn_on
0.615845856384,0,0.0040036230252,0.470673752622,task,B2_STATIC_CONSEQUENCE__FULL,1.04927885532,3840,0.627516777072,0.2265625,0.377766927083,0.224728625009,0.735336876311,ALL,wine_rack
0.925693052439,0,0.0040036230252,0.771639554341,phase,B2_STATIC_CONSEQUENCE__FULL,1.04927885532,3840,0.974461735093,0.452083333333,0.665462239583,0.00329226320121,0.88581977717,free_space,ALL
0.526113544161,0,0.0040036230252,0.384679256804,phase,B2_STATIC_CONSEQUENCE__FULL,1.04927885532,3840,0.477039857006,0.130208333333,0.2619140625,0.267995375801,0.692339628402,pre_contact,ALL
0.544932478525,0,0.0040036230252,0.400225419324,phase,B2_STATIC_CONSEQUENCE__FULL,1.04927885532,3840,0.488132928169,0.13984375,0.264485677083,0.235014743448,0.700112709662,contact_onset,ALL
0.559095408114,0,0.0040036230252,0.408361295696,phase,B2_STATIC_CONSEQUENCE__FULL,1.04927885532,3840,0.502088706411,0.132291666667,0.275390625,0.243841640553,0.704180647848,post_contact,ALL
-0.0135470682967,0,0.0040036230252,0.0081585382242,pooled,B2_STATIC_CONSEQUENCE__K64,1.04927885532,15360,0.508563929331,0.115950520833,0.20439453125,0.21192717085,0.504079269112,ALL,ALL
-0.0161188067581,0,0.0040036230252,0.00566290830588,task,B2_STATIC_CONSEQUENCE__K64,1.04927885532,3840,0.489052474194,0.110677083333,0.201985677083,0.231891798541,0.502831454153,ALL,bowl_on_plate
0.00787471882475,0,0.0040036230252,0.0288370924668,task,B2_STATIC_CONSEQUENCE__K64,1.04927885532,3840,0.493212085712,0.120572916667,0.209016927083,0.201749941223,0.514418546233,ALL,plate_push
-0.0159013929946,0,0.0040036230252,0.00341908788317,task,B2_STATIC_CONSEQUENCE__K64,1.04927885532,3840,0.522890700067,0.112760416667,0.208040364583,0.174509530058,0.501709543942,ALL,stove_turn_on
-0.0300427922589,0,0.0040036230252,-0.00528493575901,task,B2_STATIC_CONSEQUENCE__K64,1.04927885532,3840,0.529100457352,0.119791666667,0.19853515625,0.239557413581,0.49735753212,ALL,wine_rack
-0.0380959195021,0,0.0040036230252,0.0179581190642,phase,B2_STATIC_CONSEQUENCE__K64,1.04927885532,3840,0.86798830136,0.19296875,0.28017578125,0.00901753863488,0.508979059532,free_space,ALL
-0.0225689279401,0,0.0040036230252,-0.00804081416524,phase,B2_STATIC_CONSEQUENCE__K64,1.04927885532,3840,0.380461040211,0.0885416666667,0.17724609375,0.287371123874,0.495979592917,pre_contact,ALL
-0.0135572937785,0,0.0040036230252,-6.51758651705e-05,phase,B2_STATIC_CONSEQUENCE__K64,1.04927885532,3840,0.387499490817,0.0888020833333,0.1712890625,0.270787837105,0.499967412067,contact_onset,ALL
0.0200338680338,0,0.0040036230252,0.022782023863,phase,B2_STATIC_CONSEQUENCE__K64,1.04927885532,3840,0.398306884936,0.0934895833333,0.1888671875,0.280532183788,0.511391011932,post_contact,ALL
0.123893265327,0,0.0033392207696,0.0849671352016,pooled,CONTROL_ACTION_ONLY__FULL,1.06559240818,15360,0.469771450973,0.0662760416667,0.171769205729,0.251320429725,0.542483567601,ALL,ALL
0.137206079134,0,0.0033392207696,0.0928702644339,task,CONTROL_ACTION_ONLY__FULL,1.06559240818,3840,0.464205037774,0.0598958333333,0.171028645833,0.26400173973,0.546435132217,ALL,bowl_on_plate
0.120331132314,0,0.0033392207696,0.0822960956525,task,CONTROL_ACTION_ONLY__FULL,1.06559240818,3840,0.441795994294,0.0598958333333,0.165494791667,0.249697630999,0.541148047826,ALL,plate_push
0.0919244614553,0,0.0033392207696,0.0632644652654,task,CONTROL_ACTION_ONLY__FULL,1.06559240818,3840,0.463966498323,0.0609375,0.164225260417,0.243096538935,0.531632232633,ALL,stove_turn_on
0.146111388405,0,0.0033392207696,0.101437715454,task,CONTROL_ACTION_ONLY__FULL,1.06559240818,3840,0.5091182735,0.084375,0.186328125,0.248485809237,0.550718857727,ALL,wine_rack
0.133337343713,0,0.0033392207696,0.0933290082736,phase,CONTROL_ACTION_ONLY__FULL,1.06559240818,3840,0.811662028566,0.105989583333,0.235481770833,0.0240133966783,0.546664504137,free_space,ALL
0.144978169946,0,0.0033392207696,0.0987361438467,phase,CONTROL_ACTION_ONLY__FULL,1.06559240818,3840,0.366331558867,0.0591145833333,0.16201171875,0.309646428401,0.549368071923,pre_contact,ALL
0.10497926561,0,0.0033392207696,0.0716168960517,phase,CONTROL_ACTION_ONLY__FULL,1.06559240818,3840,0.356833875079,0.0424479166667,0.142805989583,0.323561238394,0.535808448026,contact_onset,ALL
0.11227828204,0,0.0033392207696,0.0761864926341,phase,CONTROL_ACTION_ONLY__FULL,1.06559240818,3840,0.34425834138,0.0575520833333,0.14677734375,0.348060655429,0.538093246317,post_contact,ALL
0.0446824408446,0,0.0033392207696,0.0323771931907,pooled,CONTROL_ACTION_ONLY__K64,1.06559240818,15360,0.371209619647,0.0399739583333,0.0939208984375,0.28181844388,0.516188596595,ALL,ALL
