action_reconstruction_rmse,atlas_size,balanced_task_effect_error,candidate_distance_spearman,clipped,code_perplexity,contact_mode_preserved,context_modulation_norm,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,inference_latency_ms,intervention,kendall_tau,level,method,metric_condition_number,n,ndcg_at_16,normalized_code_utilization,object_pose_error,oracle_neighbor_recall_at_1,oracle_neighbor_recall_at_8,oracle_regret,pairwise_accuracy,phase,row_type,selected_code_change_fraction,task_id,task_progress_abs_error,tcp_object_relative_pose_error,unique_codes,valid_bank_size
,,,0.684876508269,,,,5.79188096523,,,,,,0.00564240101792,,0.538369571446,task,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__FULL,12.598149848,3840,0.583836359893,,,0.204427083333,0.362565104167,0.178689949762,0.769184785723,ALL,,,plate_push,,,,
,,,0.644321880072,,,,6.04600701332,,,,,,0.00564240101792,,0.485940525329,task,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__FULL,12.6192058086,3840,0.638726527997,,,0.20234375,0.366796875,0.140783740797,0.742970262664,ALL,,,stove_turn_on,,,,
,,,0.611689933359,,,,6.02290853262,,,,,,0.00564240101792,,0.467588929831,task,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__FULL,12.6706341267,3840,0.627137154286,,,0.213541666667,0.376139322917,0.228883919775,0.733794464915,ALL,,,wine_rack,,,,
,,,0.925986483154,,,,5.89562761784,,,,,,0.00564240101792,,0.771916311211,phase,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__FULL,12.6936975718,3840,0.973448352221,,,0.43359375,0.661653645833,0.00348177405161,0.885958155605,free_space,,,ALL,,,,
,,,0.522813650508,,,,5.88653091192,,,,,,0.00564240101792,,0.381819992666,phase,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__FULL,12.6614035606,3840,0.476400640574,,,0.125520833333,0.261881510417,0.268220618543,0.690909996333,pre_contact,,,ALL,,,,
,,,0.540278846443,,,,6.06481571198,,,,,,0.00564240101792,,0.397063060416,phase,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__FULL,12.594536376,3840,0.486660568609,,,0.137760416667,0.263444010417,0.234492613213,0.698531530208,contact_onset,,,ALL,,,,
,,,0.550154710243,,,,6.05802364349,,,,,,0.00564240101792,,0.400979338799,phase,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__FULL,12.5844563007,3840,0.499344855458,,,0.1328125,0.2759765625,0.242785484637,0.700489669399,post_contact,,,ALL,,,,
,,,-0.0153089921128,,,,5.97624947131,,,,,,0.00564240101792,,0.00680790418258,pooled,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__K64,12.6335234523,15360,0.506905584502,,,0.118359375,0.2029296875,0.213222405874,0.503403952091,ALL,,,ALL,,,,
,,,-0.00859695891765,,,,6.04420137405,,,,,,0.00564240101792,,0.010449423136,task,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__K64,12.6461040258,3840,0.493900971184,,,0.113541666667,0.198990885417,0.231466203161,0.505224711568,ALL,,,bowl_on_plate,,,,
,,,0.00444341309104,,,,5.79188096523,,,,,,0.00564240101792,,0.0257890356428,task,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__K64,12.598149848,3840,0.486342068381,,,0.122916666667,0.207649739583,0.206131567102,0.512894517821,ALL,,,plate_push,,,,
