task_id,seed,success,steps,final_progress,checkpoint_sha256,trajectory_sha256,metric_scores_read
bowl_on_plate,131506036,False,500,0.17974621057510376,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506037,True,318,0.8393997550010681,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,6f5af9c796d92ecb8917f3cf0721c7380ae8a7aef016fbd37ba4c1668d1e84ed,False
bowl_on_plate,131506038,False,500,0.6472842693328857,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506039,False,500,0.3709758520126343,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506040,False,500,0.0901373028755188,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506041,False,500,0.12188506871461868,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506042,False,500,0.22106631100177765,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506043,True,177,0.8652648329734802,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,3f9621ada1f285b654da0616cee2e1b7b559165264196f4e48ee2cf9c8903aa1,False
bowl_on_plate,131506044,False,500,0.610967218875885,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506045,False,500,0.2897433936595917,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506046,False,500,0.05190001428127289,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506047,False,500,0.5791890025138855,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506048,False,500,0.35730448365211487,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506049,True,324,0.7722834944725037,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,0dd6c781f4657227b5d435ccf7adc2ae3de33b612c75d6385f5eaab926427256,False
bowl_on_plate,131506050,True,118,0.850922703742981,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,67db380d3b0b2815deffb6a541fa450a9ee3bfda6b1289b236bca91b8fbfa7b4,False
bowl_on_plate,131506051,False,500,0.23641516268253326,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506052,True,158,0.6997194290161133,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,9593ee390ae04f9b6f4c8b615d62a34474bd2a72db8f08b7b2e2a595755d0b86,False
bowl_on_plate,131506053,False,500,0.32000017166137695,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506054,False,500,0.17176617681980133,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506055,False,500,0.1624264270067215,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506056,False,500,0.22719116508960724,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506057,False,500,0.12092451006174088,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506058,False,500,0.2669745087623596,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506059,False,500,0.22808723151683807,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506060,False,500,0.4353729486465454,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506061,False,500,0.2335495799779892,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506062,False,500,0.3375363051891327,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506063,False,500,0.336750864982605,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506064,False,500,0.2941027879714966,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506065,False,500,0.1940392702817917,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506066,False,500,0.6257898807525635,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506067,False,500,0.28498774766921997,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506068,False,500,0.10106220841407776,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506069,False,500,0.41588833928108215,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506070,False,500,0.2510257363319397,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506071,False,500,0.0266961008310318,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506072,False,500,0.2568979561328888,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506073,False,500,0.25646474957466125,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506074,False,500,0.36120378971099854,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506075,True,155,0.7798325419425964,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,b724a9b227b828e28864d37dc917e41943b683611c4db3edc10e650a6e0dd7d5,False
bowl_on_plate,131506076,False,500,0.09823855757713318,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506077,False,500,0.2746347486972809,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506078,False,500,0.19344978034496307,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506079,False,500,0.369861364364624,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506080,False,500,0.3396591246128082,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506081,False,500,0.06631108373403549,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506082,False,500,0.17348411679267883,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506083,False,500,0.43126940727233887,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506084,True,161,0.7673360109329224,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,88cd162fdefc469e24a2cb2b99109874ec9fdf23fa7932424cddb2c3122db1ff,False
bowl_on_plate,131506085,False,500,0.39028581976890564,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506086,False,500,0.4190119206905365,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506087,False,500,0.12595272064208984,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506088,False,500,0.6369593739509583,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
bowl_on_plate,131506089,True,197,0.6924349665641785,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,66b2ecd74ad2d9853833c0067632f751434ad6f2a28f519e54a0627296a245ed,False
bowl_on_plate,131506092,True,184,0.7548091411590576,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,957a032b4a7d08caab3aa8f35e2f8c528404b74ec788764a2690547a9e04e57d,False
bowl_on_plate,131506093,False,500,0.3408205807209015,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
plate_push,131507000,False,500,0.08713977783918381,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
plate_push,131507001,False,500,0.06418593972921371,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
plate_push,131507002,False,500,0.027413999661803246,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
plate_push,131507003,False,500,0.011543534696102142,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
plate_push,131507004,False,500,0.00307254446670413,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,,False
plate_push,131507005,True,277,0.45060983300209045,b48a4fee2c32c1107c3da2120df0068f974288e7424718dadb8978bdc9120f88,d6e474000453a037dedc786d9c5525791e2b2f5c607a8a417962cbd2e7f56887,False
