action_reconstruction_rmse,atlas_size,balanced_task_effect_error,clipped,code_perplexity,contact_mode_preserved,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,inference_latency_ms,level,method,n,normalized_code_utilization,object_pose_error,phase,task_id,task_progress_abs_error,tcp_object_relative_pose_error,unique_codes,valid_bank_size
0.014523197109,128,0.322053860793,0,26.598407595,0.957682291667,0.758443147659,0.317137198274,0.196869493996,0.0788678850567,0.258951578978,0.0123949460165,pooled,B1_ACTION_ONLY__FULL,6144,0.207800059336,0.196869493996,ALL,ALL,0.00397144907589,0.258951578978,37,128
0.0145282964154,128,0.522898235016,0,26.5228341963,0.907552083333,1.16880008743,0.291390851046,0.502189385588,0.0827440422039,0.569366808816,0.0123949460165,task,B1_ACTION_ONLY__FULL,1536,0.207209642159,0.502189385588,ALL,bowl_on_plate,0.00356432603296,0.569366808816,36,128
0.0145269245881,128,0.274949656778,0,26.7211596103,0.981770833333,1.12479792985,0.0717775577794,0.0809025438296,0.000617869932276,0.096652382495,0.0123949460165,task,B1_ACTION_ONLY__FULL,1536,0.208759059456,0.0809025438296,ALL,plate_push,0.000131016412687,0.096652382495,36,128
0.0145165519673,128,0.281214578841,0,26.7655910508,0.9765625,0.272271770986,0.818600242084,0,0.180755811322,0.13444506981,0.0123949460165,task,B1_ACTION_ONLY__FULL,1536,0.209106180084,0,ALL,stove_turn_on,0.00290785389216,0.13444506981,37,128
0.014521015465,128,0.209152972536,0,26.3840455225,0.96484375,0.467902802367,0.0867801421884,0.204386046565,0.0513538167687,0.235342054793,0.0123949460165,task,B1_ACTION_ONLY__FULL,1536,0.206125355645,0.204386046565,ALL,wine_rack,0.00928259996575,0.235342054793,36,128
0.0145290859342,128,0.0418645887596,0,26.5523690619,1,0,4.68147523855e-08,1.44267604263e-29,1.20370621524e-31,0.209322896983,0.0123949460165,phase,B1_ACTION_ONLY__FULL,1536,0.207440383296,1.44267604263e-29,free_space,ALL,4.33680868994e-19,0.209322896983,36,128
0.0145229964564,128,0.455298837267,0,26.6342852512,0.847005208333,1.24040663803,0.301269064289,0.278011567763,0.111127961562,0.345678954689,0.0123949460165,phase,B1_ACTION_ONLY__FULL,1536,0.208080353525,0.278011567763,pre_contact,ALL,0.00101219956785,0.345678954689,36,128
0.0145167644935,128,0.41036390282,0,26.5949963523,0.983723958333,1.04589566258,0.401848083146,0.307068883499,0.0232915355139,0.273715349363,0.0123949460165,phase,B1_ACTION_ONLY__FULL,1536,0.207773409003,0.307068883499,contact_onset,ALL,0.00108101055339,0.273715349363,36,128
0.0145239415518,128,0.380688114325,0,26.6119797145,1,0.747470290026,0.565431598848,0.202397524721,0.181052043151,0.207089114878,0.0123949460165,phase,B1_ACTION_ONLY__FULL,1536,0.207906091519,0.202397524721,post_contact,ALL,0.0137925861823,0.207089114878,37,128
0.0163557269637,64,0.341745075141,0,10.5594522009,0.95458984375,0.794868887425,0.329366194211,0.214510628225,0.0836891368892,0.286290528955,0.0123949460165,pooled,B1_ACTION_ONLY__K64,6144,0.16499144064,0.214510628225,ALL,ALL,0.00438374461782,0.286290528955,53,128
0.0163983282456,64,0.534853903798,0,10.5357051169,0.892578125,1.17437628362,0.295461516412,0.520816031836,0.0828926579935,0.60072302913,0.0123949460165,task,B1_ACTION_ONLY__K64,1536,0.164620392451,0.520816031836,ALL,bowl_on_plate,0.00369412534304,0.60072302913,48,128
0.016170212093,64,0.310006269854,0,10.9216586767,0.975260416667,1.23656884773,0.0820825490252,0.115345972744,0.000868451576241,0.115165528195,0.0123949460165,task,B1_ACTION_ONLY__K64,1536,0.170650916823,0.115345972744,ALL,plate_push,0.000156788916335,0.115165528195,43,128
0.0163119411409,64,0.304398510765,0,10.9332774932,0.981119791667,0.308664986148,0.849705705147,0,0.192508741118,0.171113121411,0.0123949460165,task,B1_ACTION_ONLY__K64,1536,0.170832460832,0,ALL,stove_turn_on,0.00320431099103,0.171113121411,43,128
0.0165424263752,64,0.217721616147,0,9.8471675169,0.969401041667,0.459865432202,0.0902150062604,0.221880508321,0.0584866968689,0.258160437082,0.0123949460165,task,B1_ACTION_ONLY__K64,1536,0.153861992452,0.221880508321,ALL,wine_rack,0.0104797532209,0.258160437082,48,128
0.0162699331535,64,0.0521432158664,0,10.931040617,1,0,6.01468898495e-08,1.31219228623e-29,1.20370621524e-31,0.260716019185,0.0123949460165,phase,B1_ACTION_ONLY__K64,1536,0.17079750964,1.31219228623e-29,free_space,ALL,4.33680868994e-19,0.260716019185,43,128
0.0163637715778,64,0.468138040669,0,10.4938547867,0.845052083333,1.30315863426,0.285934262663,0.284406468554,0.100739428323,0.366451409549,0.0123949460165,phase,B1_ACTION_ONLY__K64,1536,0.163966481042,0.284406468554,pre_contact,ALL,0.000947234461779,0.366451409549,45,128
0.0163956209947,64,0.439869472624,0,10.1901576393,0.973307291667,1.11555277812,0.437460388175,0.333220796878,0.0274665434034,0.285646856545,0.0123949460165,phase,B1_ACTION_ONLY__K64,1536,0.159221213114,0.333220796878,contact_onset,ALL,0.00115808854618,0.285646856545,48,128
0.0163935821287,64,0.406829571405,0,10.6227557608,1,0.760764137326,0.59407006586,0.240415247469,0.206550575831,0.23234783054,0.0123949460165,phase,B1_ACTION_ONLY__K64,1536,0.165980558762,0.240415247469,post_contact,ALL,0.0154296554633,0.23234783054,43,128
0.0185073090671,128,0.261579193737,0,32.5137856883,0.95751953125,0.672671506924,0.205667371034,0.166553658226,0.0638440855033,0.199159346997,0.00894824250963,pooled,B2_STATIC_CONSEQUENCE__FULL,6144,0.25401395069,0.166553658226,ALL,ALL,0.00368197188329,0.199159346997,60,128
0.0185497171268,128,0.473669690113,0,32.0424695448,0.914713541667,1.1196781214,0.195964375389,0.469760611789,0.0911296923072,0.491815649684,0.00894824250963,task,B2_STATIC_CONSEQUENCE__FULL,1536,0.250331793319,0.469760611789,ALL,bowl_on_plate,0.00391743780605,0.491815649684,50,128
0.0182484069971,128,0.216896450828,0,32.624135808,0.979817708333,0.952209113195,0.0355283666314,0.0444107040477,0.000511700493282,0.0518223697748,0.00894824250963,task,B2_STATIC_CONSEQUENCE__FULL,1536,0.254876061,0.0444107040477,ALL,plate_push,0.000108498109229,0.0518223697748,51,128
0.0185076193375,128,0.181093839844,0,32.3281871126,0.969401041667,0.208455073131,0.513264515183,0,0.113625328978,0.0701242819292,0.00894824250963,task,B2_STATIC_CONSEQUENCE__FULL,1536,0.252563961817,0,ALL,stove_turn_on,0.00158310006902,0.0701242819292,52,128
0.0187234928068,128,0.174656794162,0,33.0603502878,0.966145833333,0.410343719975,0.0779122269347,0.152043317066,0.0501096202342,0.1828750866,0.00894824250963,task,B2_STATIC_CONSEQUENCE__FULL,1536,0.258283986623,0.152043317066,ALL,wine_rack,0.00911885154887,0.1828750866,56,128
0.018278146261,128,0.0186026888566,0,31.8178629692,1,0,5.54816290122e-08,1.1967785485e-29,1.60494162032e-31,0.0930133888015,0.00894824250963,phase,B2_STATIC_CONSEQUENCE__FULL,1536,0.248577054447,1.1967785485e-29,free_space,ALL,5.78241158659e-19,0.0930133888015,54,128
0.0185166256153,128,0.387563462829,0,32.9907881508,0.84765625,1.07014559036,0.23209122054,0.247915432622,0.0919956165548,0.295669454072,0.00894824250963,phase,B2_STATIC_CONSEQUENCE__FULL,1536,0.257740532428,0.247915432622,pre_contact,ALL,0.000912392808584,0.295669454072,46,128
0.018756278085,128,0.35546563467,0,33.0181983239,0.982421875,0.944523426906,0.296324654745,0.260997874425,0.0238776285667,0.251604588705,0.00894824250963,phase,B2_STATIC_CONSEQUENCE__FULL,1536,0.257954674405,0.260997874425,contact_onset,ALL,0.000987451552177,0.251604588705,52,128
0.0184781863069,128,0.284684988592,0,32.2282933093,1,0.676017010432,0.294253553371,0.157301325855,0.139503096892,0.15634995641,0.00894824250963,phase,B2_STATIC_CONSEQUENCE__FULL,1536,0.251783541479,0.157301325855,post_contact,ALL,0.0128280431724,0.15634995641,55,128
0.0199228147634,64,0.282722133217,0,19.0845535343,0.960774739583,0.719911149668,0.226732588069,0.180880639946,0.0624876699594,0.223598618442,0.00894824250963,pooled,B2_STATIC_CONSEQUENCE__K64,6144,0.298196148974,0.180880639946,ALL,ALL,0.00333476241822,0.223598618442,89,128
