action_reconstruction_rmse,atlas_size,balanced_task_effect_error,clipped,code_perplexity,contact_mode_preserved,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,inference_latency_ms,level,method,n,normalized_code_utilization,object_pose_error,phase,task_id,task_progress_abs_error,tcp_object_relative_pose_error,unique_codes,valid_bank_size
0.0213207305134,128,0.403149070894,0,33.9680564333,0.950846354167,0.914514353826,0.366293446688,0.224388713902,0.106425563468,0.404123276586,0,pooled,B0_CURRENT_CONTACT_KMEANS__FULL,15360,0.265375440885,0.224388713902,ALL,ALL,0.00614310398421,0.404123276586,44,128
0.0213207305134,128,0.426032451792,0,33.9680564333,0.96328125,1.09568803627,0.118173203917,0.307690176141,0.121806237767,0.486804604866,0,task,B0_CURRENT_CONTACT_KMEANS__FULL,3840,0.265375440885,0.307690176141,ALL,bowl_on_plate,0.00475932233549,0.486804604866,44,128
0.0213207305134,128,0.381581337678,0,33.9680564333,0.980989583333,1.26984351041,0.198608809309,0.178444594303,0.00400272486938,0.257007049492,0,task,B0_CURRENT_CONTACT_KMEANS__FULL,3840,0.265375440885,0.178444594303,ALL,plate_push,0.000356879784894,0.257007049492,44,128
0.0213207305134,128,0.394317400988,0,33.9680564333,0.921875,0.424029184346,0.993245601917,0,0.207703328551,0.346608890126,0,task,B0_CURRENT_CONTACT_KMEANS__FULL,3840,0.265375440885,0,ALL,stove_turn_on,0.00357924089482,0.346608890126,44,128
0.0213207305134,128,0.410665093118,0,33.9680564333,0.937239583333,0.868496684275,0.15514617161,0.411420085163,0.0921899626829,0.526072561859,0,task,B0_CURRENT_CONTACT_KMEANS__FULL,3840,0.265375440885,0.411420085163,ALL,wine_rack,0.0158769729216,0.526072561859,44,128
0.0213207305134,128,0.0942358949078,0,33.9680564333,1,0,1.21078340267e-06,2.64860294382e-30,1.28395329626e-31,0.471178263755,0,phase,B0_CURRENT_CONTACT_KMEANS__FULL,3840,0.265375440885,2.64860294382e-30,free_space,ALL,4.9150498486e-19,0.471178263755,44,128
0.0213207305134,128,0.504064999999,0,33.9680564333,0.863541666667,1.36948441842,0.336890377178,0.239018700022,0.0842662355236,0.490665268847,0,phase,B0_CURRENT_CONTACT_KMEANS__FULL,3840,0.265375440885,0.239018700022,pre_contact,ALL,0.00100638298869,0.490665268847,44,128
0.0213207305134,128,0.481278330885,0,33.9680564333,0.944791666667,1.25013620677,0.431850678447,0.319643031047,0.0867781359559,0.317983602206,0,phase,B0_CURRENT_CONTACT_KMEANS__FULL,3840,0.265375440885,0.319643031047,contact_onset,ALL,0.00217752715383,0.317983602206,44,128
0.0213207305134,128,0.533017057784,0,33.9680564333,0.995052083333,1.03843679011,0.696431520345,0.338893124538,0.254657882391,0.336665971534,0,phase,B0_CURRENT_CONTACT_KMEANS__FULL,3840,0.265375440885,0.338893124538,post_contact,ALL,0.0213885057943,0.336665971534,44,128
0.0214278956628,64,0.426060531671,0,10.4895924234,0.946940104167,0.965927770104,0.387762610098,0.23869057339,0.108657069803,0.429264634961,0,pooled,B0_CURRENT_CONTACT_KMEANS__K64,15360,0.163899881615,0.23869057339,ALL,ALL,0.00624795114219,0.429264634961,22,128
