action_reconstruction_rmse,balanced_task_effect_error,contact_mode_preserved,direction_family_id,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,level,mean_atlas_size,mean_valid_bank_size,method,n,object_pose_error,phase,row_type,task_id,task_progress_abs_error,tcp_object_relative_pose_error
0.0223946655579,0.0894800730383,0.98046875,1,0.11190274062,0.0507746359868,0.113057417927,0.00749543067494,0.164170139982,direction_family,64,128,O_STATE_K64,2048,0.113057417927,ALL,summary,ALL,0.000548862980662,0.164170139982
0.022798697248,0.055299338903,0.98046875,2,0.0836754642098,0.0284785929281,0.0658657848126,0.00575609780536,0.0927207547592,direction_family,64,128,O_STATE_K64,2048,0.0658657848126,ALL,summary,ALL,0.000403790042745,0.0927207547592
0.023356597519,0.442386916198,0.94287109375,ALL,0.872606633864,0.434796538789,0.318120495797,0.113357065848,0.473053846692,pooled,128,128,O_STATIC_FULL,6144,0.318120495797,ALL,summary,ALL,0.00469151831932,0.473053846692
0.023356597519,0.683925881169,0.879557291667,ALL,1.32405733654,0.442362137369,0.695394042999,0.0998949183978,0.857920970538,task,128,128,O_STATIC_FULL,1536,0.695394042999,ALL,summary,bowl_on_plate,0.00407974759083,0.857920970538
0.023356597519,0.391086804611,0.97265625,ALL,1.30306216589,0.184257837688,0.222007620385,0.00197563939764,0.244130759688,task,128,128,O_STATIC_FULL,1536,0.222007620385,ALL,summary,plate_push,0.000206821679155,0.244130759688
0.023356597519,0.391896199966,0.95703125,ALL,0.348076654634,0.965970288155,0,0.291208649493,0.354225407548,task,128,128,O_STATIC_FULL,1536,0,ALL,summary,stove_turn_on,0.00459607002834,0.354225407548
0.023356597519,0.302638779046,0.962239583333,ALL,0.515230378386,0.146595891944,0.355080319804,0.0603490561046,0.435938248993,task,128,128,O_STATIC_FULL,1536,0.355080319804,ALL,summary,wine_rack,0.00988343397897,0.435938248993
0.023356597519,0.108676849102,1,ALL,0,1.89246960528e-07,1.3087645409e-29,1.80555932286e-31,0.543384056264,phase,128,128,O_STATIC_FULL,1536,1.3087645409e-29,free_space,summary,ALL,6.50521303491e-19,0.543384056264
0.023356597519,0.588178201638,0.791666666667,ALL,1.41472815926,0.440160180766,0.390917409649,0.128948801305,0.566136457213,phase,128,128,O_STATIC_FULL,1536,0.390917409649,pre_contact,summary,ALL,0.00134957499449,0.566136457213
0.023356597519,0.540188097586,0.979817708333,ALL,1.19503350946,0.571660695612,0.488587563053,0.0474573671354,0.398201352675,phase,128,128,O_STATIC_FULL,1536,0.488587563053,contact_onset,summary,ALL,0.00156177176108,0.398201352675
0.023356597519,0.532504516464,1,ALL,0.880664866736,0.727365089532,0.392977010487,0.277022094953,0.384493520615,phase,128,128,O_STATIC_FULL,1536,0.392977010487,post_contact,summary,ALL,0.0158547265217,0.384493520615
0.0235698497543,0.408086009006,0.9365234375,0,0.856990204623,0.383212006909,0.284659196915,0.0925021914047,0.423066445176,direction_family,128,128,O_STATIC_FULL,2048,0.284659196915,ALL,summary,ALL,0.00389876683808,0.423066445176
