action_reconstruction_rmse,atlas_size,balanced_task_effect_error,candidate_distance_spearman,clipped,code_perplexity,contact_mode_preserved,context_modulation_norm,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,inference_latency_ms,intervention,joint_reversal_accuracy,kendall_tau,level,method,metric_condition_number,n,ndcg_at_16,normalized_code_utilization,object_pose_error,oracle_neighbor_recall_at_1,oracle_neighbor_recall_at_8,oracle_regret,pairs,pairwise_accuracy,phase,row_type,selected_code_change_fraction,side_accuracy,side_s1_accuracy,side_s2_accuracy,task_id,task_progress_abs_error,tcp_object_relative_pose_error,unique_codes,valid_bank_size
,,,0.136663382603,,,,0,,,,,,0.00818850282435,,,0.0940593905217,pooled,CONTROL_ACTION_ONLY__FULL,1.06559240818,6144,0.470301318331,,,0.076171875,0.171020507812,0.267329143647,,0.547029695261,ALL,,,,,,ALL,,,,
,,,0.134807669474,,,,0,,,,,,0.00818850282435,,,0.0915557022671,task,CONTROL_ACTION_ONLY__FULL,1.06559240818,1536,0.385060882614,,,0.0755208333333,0.161458333333,0.417603391134,,0.545777851134,ALL,,,,,,bowl_on_plate,,,,
,,,0.143486202185,,,,0,,,,,,0.00818850282435,,,0.0977841138465,task,CONTROL_ACTION_ONLY__FULL,1.06559240818,1536,0.427426386777,,,0.0735677083333,0.165852864583,0.237168476535,,0.548892056923,ALL,,,,,,plate_push,,,,
,,,0.111494640643,,,,0,,,,,,0.00818850282435,,,0.0771485954305,task,CONTROL_ACTION_ONLY__FULL,1.06559240818,1536,0.474989260569,,,0.0651041666667,0.160970052083,0.244930072166,,0.538574297715,ALL,,,,,,stove_turn_on,,,,
,,,0.156865018111,,,,0,,,,,,0.00818850282435,,,0.109749150543,task,CONTROL_ACTION_ONLY__FULL,1.06559240818,1536,0.593728743365,,,0.0904947916667,0.19580078125,0.169614634753,,0.554874575271,ALL,,,,,,wine_rack,,,,
,,,0.149403409851,,,,0,,,,,,0.00818850282435,,,0.105528197001,phase,CONTROL_ACTION_ONLY__FULL,1.06559240818,1536,0.799785896721,,,0.130208333333,0.23046875,0.0267928846628,,0.552764098501,free_space,,,,,,ALL,,,,
,,,0.146967755555,,,,0,,,,,,0.00818850282435,,,0.0997209591775,phase,CONTROL_ACTION_ONLY__FULL,1.06559240818,1536,0.35500632904,,,0.0559895833333,0.154052734375,0.36868103971,,0.549860479589,pre_contact,,,,,,ALL,,,,
,,,0.12407509007,,,,0,,,,,,0.00818850282435,,,0.0852065241875,phase,CONTROL_ACTION_ONLY__FULL,1.06559240818,1536,0.356411066857,,,0.0514322916667,0.14697265625,0.34698996684,,0.542603262094,contact_onset,,,,,,ALL,,,,
,,,0.126207274937,,,,0,,,,,,0.00818850282435,,,0.0857818817206,phase,CONTROL_ACTION_ONLY__FULL,1.06559240818,1536,0.370001980706,,,0.0670572916667,0.152587890625,0.326852683375,,0.54289094086,post_contact,,,,,,ALL,,,,
,,,0.0502574864669,,,,0,,,,,,0.00818850282435,,,0.0370120620982,pooled,CONTROL_ACTION_ONLY__K64,1.06559240818,6144,0.38575282771,,,0.0428059895833,0.0970662434896,0.28702035787,,0.518506031049,ALL,,,,,,ALL,,,,
