contact_correct,contact_probability,episode_id,method,nrmse,phase,predicted_norm,split,squared_error,target_id,task_id,true_norm,uncertainty
0,,24,LJ_linear_j_atlas,,free_space,1.0218466957741041,calibration,0.16982677981236352,40,bowl_on_plate,3.4098405895199733,nan
0,,24,LJ_linear_j_atlas,,free_space,1.0218466957741041,calibration,0.16120005807703205,41,bowl_on_plate,3.3488960798426683,nan
0,,24,LJ_linear_j_atlas,,free_space,1.0263354636700401,calibration,0.17136957565887362,42,bowl_on_plate,3.425145728203578,nan
0,,24,LJ_linear_j_atlas,,free_space,1.0263354636700401,calibration,0.16259780811869376,43,bowl_on_plate,3.3634526461849976,nan
0,,24,LJ_linear_j_atlas,,free_space,0.6351615371160645,calibration,0.086727750726515,44,bowl_on_plate,2.3327026473213572,nan
0,,24,LJ_linear_j_atlas,,free_space,0.6351615371160645,calibration,0.09516259902160912,45,bowl_on_plate,2.4126532340238707,nan
0,,24,LJ_linear_j_atlas,,free_space,0.9998310697155599,calibration,0.2141861504293495,46,bowl_on_plate,3.6672908818574528,nan
0,,24,LJ_linear_j_atlas,,free_space,0.9998310697155599,calibration,0.2340697734078543,47,bowl_on_plate,3.7875816356688685,nan
0,,24,LJ_linear_j_atlas,,free_space,0.48006021836646184,calibration,0.018206533694307383,48,bowl_on_plate,1.2539914227862805,nan
0,,24,LJ_linear_j_atlas,,free_space,0.48006021836646184,calibration,0.018040766571856312,49,bowl_on_plate,1.250852246512559,nan
0,,24,LJ_linear_j_atlas,,free_space,1.1669218788276658,calibration,0.10618467662557024,50,bowl_on_plate,3.0349798990068964,nan
0,,24,LJ_linear_j_atlas,,free_space,1.1669218788276658,calibration,0.10600775047621172,51,bowl_on_plate,3.0359922636131818,nan
0,,24,LJ_linear_j_atlas,,free_space,0.553825731114802,calibration,0.029140147322777084,52,bowl_on_plate,1.542432528586438,nan
0,,24,LJ_linear_j_atlas,,free_space,0.553825731114802,calibration,0.028500708322439262,53,bowl_on_plate,1.5316518454567698,nan
0,,24,LJ_linear_j_atlas,,free_space,0.6156600793477548,calibration,0.03607100551731348,54,bowl_on_plate,1.7155036592997788,nan
0,,24,LJ_linear_j_atlas,,free_space,0.6156600793477548,calibration,0.035165123179030304,55,bowl_on_plate,1.7018298475828102,nan
0,,24,LJ_linear_j_atlas,,free_space,0.42055005396854495,calibration,0.037487743707610384,56,bowl_on_plate,1.5474501480350276,nan
