action_reconstruction_rmse,alphabet_k,balanced_task_effect_error,clipped,code_perplexity,contact_mode_preserved,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,inference_latency_ms,level,method,n,normalized_code_utilization,object_pose_error,phase,split,task_id,task_progress_abs_error,tcp_object_relative_pose_error,unique_codes
0.0237066070898,32,0.352376880321,0,5.26472058717,0.946754092262,0.85395871951,0.317679832998,0.190527103493,0.0817274709984,0.317991274603,0,pooled,C5_NCER_AA_K32,21504,0.14079816912,0.190527103493,ALL,development,ALL,0.00470178346488,0.317991274603,139
0.0235333949229,32,0.45447499855,0,7.78916274968,0.934151785714,1.1161019413,0.179174510869,0.354980414744,0.12887538282,0.493242743019,0,task,C5_NCER_AA_K32,5376,0.176111215975,0.354980414744,ALL,development,bowl_on_plate,0.00619923833008,0.493242743019,100
0.024095302008,32,0.320594476164,0,1,0.986793154762,1.20196565514,0.145014190218,0.107761845714,0.00216258557596,0.14606810417,0,task,C5_NCER_AA_K32,5376,0.03125,0.107761845714,ALL,development,plate_push,0.000247975416152,0.14606810417,1
0.0242463812157,32,0.317264678318,0,6.65985741533,0.931919642857,0.364887125251,0.832857186664,0,0.141001618273,0.247577461402,0,task,C5_NCER_AA_K32,5376,0.152777553138,0,ALL,development,stove_turn_on,0.0026141551622,0.247577461402,83
0.0229513502125,32,0.31717336825,0,7.01117393503,0.934151785714,0.732880156348,0.11367344424,0.299366153516,0.054870297325,0.385076789822,0,task,C5_NCER_AA_K32,5376,0.203053907366,0.299366153516,ALL,development,wine_rack,0.00974576495109,0.385076789822,86
0.0239812815902,32,0.424808453106,0,1.25027804702,0.967633928571,1.16233120005,0.37259059582,0.2748954873,0.0434500229607,0.270774959396,0,phase,C5_NCER_AA_K32,5376,0.0482161771083,0.2748954873,contact_onset,development,ALL,0.00131576396589,0.270774959396,38
0.0233044932135,32,0.067541458103,0,15.7676256388,1,0,9.36309644128e-07,5.52085449467e-30,1.6909206357e-31,0.337706354205,0,phase,C5_NCER_AA_K32,5376,0.27729396155,5.52085449467e-30,free_space,development,ALL,7.43452918276e-19,0.337706354205,79
0.0240275600229,32,0.44769880212,0,1.1058687414,0.998325892857,0.942116054469,0.584789651776,0.242268875178,0.219310586883,0.250008842295,0,phase,C5_NCER_AA_K32,5376,0.0370917581482,0.242268875178,post_contact,development,ALL,0.0166296330349,0.250008842295,18
0.0235130935324,32,0.469458807953,0,10.0782976042,0.821056547619,1.31138762352,0.313338148085,0.244944051496,0.0641492741504,0.413474942516,0,phase,C5_NCER_AA_K32,5376,0.200590779673,0.244944051496,pre_contact,development,ALL,0.000861736858759,0.413474942516,115
0.0239244398681,32,0.159368012002,0,66.270214036,0.969494047619,0.388011900972,0.119833303359,0.103641878194,0.0109753927029,0.174377584784,0,pooled,O_true_effect_K32,21504,0.323511379013,0.103641878194,ALL,development,ALL,0.000592994924263,0.174377584784,255
0.0242577218092,32,0.204990333213,0,66.4002332761,0.95740327381,0.538364296735,0.0719621432132,0.178088533883,0.00618643228789,0.230350259944,0,task,O_true_effect_K32,5376,0.336964156592,0.178088533883,ALL,development,bowl_on_plate,0.000655350405963,0.230350259944,220
0.0238534000371,32,0.156065196329,0,63.3559241501,0.992931547619,0.523174696226,0.0519163335338,0.0964070541775,0.00224762149265,0.106580276212,0,task,O_true_effect_K32,5376,0.35740245821,0.0964070541775,ALL,development,plate_push,0.000240262340828,0.106580276212,229
0.0240194013029,32,0.121947372662,0,53.0951653386,0.965959821429,0.0938590753507,0.319806273012,0,0.030576580072,0.165494934878,0,task,O_true_effect_K32,5376,0.296889760278,0,ALL,development,stove_turn_on,0.000915351361558,0.165494934878,216
0.0235672363231,32,0.154469145806,0,45.6693619648,0.961681547619,0.396649535577,0.035648463677,0.140071924717,0.00489093695888,0.1950848681,0,task,O_true_effect_K32,5376,0.302789140974,0.140071924717,ALL,development,wine_rack,0.000561015588702,0.1950848681,213
