candidate_distance_spearman,direction_family_id,inference_latency_ms,kendall_tau,level,method,n,ndcg_at_16,o1_baseline_gap_fraction_closed,oracle_neighbor_recall_at_1,oracle_neighbor_recall_at_8,oracle_regret,pairwise_accuracy,phase,split,task_id
0.385291089614,ALL,0.560921722013,0.28804976763,task,B5_local_knn_consequence,1536,0.433060794787,-0.966941767803,0.0149739583333,0.0880533854167,0.325591098052,0.644024883815,ALL,development,stove_turn_on
0.238867492858,ALL,0.552068116008,0.186005464805,task,B5_local_knn_consequence,1536,0.499345176231,-0.201599507224,0.0201822916667,0.0873209635417,0.208941597109,0.593002732403,ALL,development,wine_rack
0.145734260219,ALL,0.559035241584,0.103807227398,phase,B5_local_knn_consequence,1536,0.254967632712,-0.384788552054,0.0078125,0.0453287760417,0.46777204661,0.551903613699,contact_onset,development,ALL
0.727552457655,ALL,0.548978279274,0.578631067251,phase,B5_local_knn_consequence,1536,0.813810261707,-2.76424271741,0.0423177083333,0.190104166667,0.05520480645,0.789315533625,free_space,development,ALL
0.154810470085,ALL,0.552431384146,0.112129390916,phase,B5_local_knn_consequence,1536,0.256053257997,-0.701025237493,0.0104166666667,0.042236328125,0.413313078883,0.556064695458,post_contact,development,ALL
0.198555888313,ALL,0.571638750747,0.136664020216,phase,B5_local_knn_consequence,1536,0.282132887593,-0.354389022946,0.0078125,0.0681966145833,0.50985121985,0.568332010108,pre_contact,development,ALL
0.334867951316,0,0.558020913938,0.256640637096,direction_family,B5_local_knn_consequence,2048,0.433187978961,-0.352748070042,0.01318359375,0.105712890625,0.339484425256,0.628320318548,ALL,development,ALL
0.230655564642,1,0.558020913938,0.165426598886,direction_family,B5_local_knn_consequence,2048,0.320373087516,-0.754918780172,0.00146484375,0.025146484375,0.420921633851,0.582713299443,ALL,development,ALL
0.354466291247,2,0.558020913938,0.276356543353,direction_family,B5_local_knn_consequence,2048,0.451661963529,-0.361615778793,0.03662109375,0.128540039062,0.324199804737,0.638178271676,ALL,development,ALL
0.536367296151,ALL,0.077703337297,0.403254521428,pooled,C0_stage2_ncea_reproduction,6144,0.531258494273,-0.213325508306,0.154459635417,0.255737304688,0.294802065775,0.701627260714,ALL,development,ALL
0.432696378903,ALL,0.0903003133822,0.335203227862,task,C0_stage2_ncea_reproduction,1536,0.414307963107,-0.113439163795,0.15625,0.232584635417,0.48463681572,0.667601613931,ALL,development,bowl_on_plate
0.565123798347,ALL,0.062157509357,0.419259680631,task,C0_stage2_ncea_reproduction,1536,0.480327434371,-0.286999598603,0.15625,0.232340494792,0.25379914477,0.709629840316,ALL,development,plate_push
