balanced_prediction_error,contact_accuracy,effect_norm_spearman,level,mean_nrmse,mean_predicted_effect_norm,mean_true_effect_norm,method,mse,n,phase,predicted_to_true_norm_ratio,rmse,split,task_id,uncertainty_error_spearman
nan,nan,0.578743269604496,pooled,nan,1.1748531518573306,5.995872765583639,LJ_linear_j_atlas,3.8394932240637996,6144,ALL,0.19594364286730664,1.959462483454021,calibration,ALL,nan
nan,nan,0.5253988574864681,task,nan,1.3260938676631577,6.034082591362611,LJ_linear_j_atlas,1.7136277834615516,1536,ALL,0.21976727159176992,1.3090560658205406,calibration,bowl_on_plate,nan
nan,nan,0.6483404751254175,task,nan,1.0716522628025398,4.985910172582577,LJ_linear_j_atlas,1.1686619561511478,1536,ALL,0.2149361351705722,1.0810466947135762,calibration,plate_push,nan
nan,nan,0.6587818159335895,task,nan,1.0351479423509522,3.2048663928912724,LJ_linear_j_atlas,0.40307178787523146,1536,ALL,0.32299254179425957,0.6348793490697515,calibration,stove_turn_on,nan
nan,nan,0.46253556679159274,task,nan,1.2665185346126728,9.758631905498094,LJ_linear_j_atlas,12.072611368767268,1536,ALL,0.12978443565425454,3.474566356938268,calibration,wine_rack,nan
nan,nan,0.9369265033686766,phase,nan,0.6186739473427684,1.9876816926227086,LJ_linear_j_atlas,0.07187327317700169,1536,free_space,0.3112540351098368,0.2680919118082485,calibration,ALL,nan
nan,nan,0.396833615126812,phase,nan,1.5228087409634334,6.5071294405762075,LJ_linear_j_atlas,3.010726991983066,1536,pre_contact,0.2340215843053198,1.735144660246824,calibration,ALL,nan
nan,nan,0.42375036610544725,phase,nan,1.2647729137643748,7.943336473800389,LJ_linear_j_atlas,8.855491160366588,1536,contact_onset,0.15922439115301135,2.9758177296949135,calibration,ALL,nan
nan,nan,0.41630279096271766,phase,nan,1.2931570053587462,7.5453434553352485,LJ_linear_j_atlas,3.4198814707285408,1536,post_contact,0.171384776983792,1.849292153968253,calibration,ALL,nan
0.38432177180874866,0.9143880208333334,0.3277727951959789,pooled,1.1859689181259943,2.0297975840512663,5.995872765583639,MC_NCEA,4.138604508242369,6144,ALL,0.3385324644816218,2.034356042644052,calibration,ALL,0.5922156665067718
0.4312328168763253,0.8841145833333334,0.32892311977730637,task,1.0453502158427053,2.7986448462761473,6.034082591362611,MC_NCEA,2.2346140310202345,1536,ALL,0.4638061882484376,1.4948625458617373,calibration,bowl_on_plate,0.5908623954666542
0.29838641153166484,0.9811197916666666,0.36566930282669186,task,1.0211620398893348,0.9159771963216675,4.985910172582577,MC_NCEA,1.4184308528175134,1536,ALL,0.18371313654197147,1.1909789472604095,calibration,plate_push,0.49033753992188345
0.24726562192818102,0.9010416666666666,0.05223798652331621,task,0.8978162286868319,1.0636449143639766,3.2048663928912724,MC_NCEA,0.5051324257157166,1536,ALL,0.331884323391219,0.7107266884785717,calibration,stove_turn_on,0.5057961071262813
0.5604022368988236,0.8912760416666666,0.3976701627233983,task,1.7795471880851048,3.3409233792432738,9.758631905498094,MC_NCEA,12.396240723416012,1536,ALL,0.3423557125216466,3.520829550463358,calibration,wine_rack,0.6354405394408076
0.019944999512198983,1.0,0.5931272702756544,phase,0.6341310839704398,1.1929380549311948,1.9876816926227086,MC_NCEA,0.05325165562128233,1536,free_space,0.600165539260532,0.23076320248532334,calibration,ALL,0.7463623733466989
0.4323401333586749,0.8151041666666666,0.2785431168262129,phase,1.0865545431279484,1.7766859002683002,6.5071294405762075,MC_NCEA,3.285342497380918,1536,pre_contact,0.27303681546420483,1.8125513778596507,calibration,ALL,0.23795223056569864
0.40961981761536315,0.8424479166666666,0.232535535503369,phase,1.1183521441002706,1.146051708376035,7.943336473800389,MC_NCEA,9.047206872542864,1536,contact_onset,0.1442783787588594,3.0078575219818613,calibration,ALL,-0.053780780513882326
0.6753821367487579,1.0,0.06516913354942896,phase,1.9048379013053178,4.003514672629535,7.5453434553352485,MC_NCEA,4.168617007424415,1536,post_contact,0.5305940937385274,2.0417191303958573,calibration,ALL,0.3900083400178867
0.39064716648463255,0.9010416666666666,0.49948185072328694,pooled,1.2835199359798055,1.23909875671355,5.995872765583639,NCEA,4.298382317417759,6144,ALL,0.20665861420975903,2.073254040733494,calibration,ALL,0.4465492477243775
0.41850238994778355,0.8307291666666666,0.4808612252282991,task,1.0529920779246804,1.287289969070116,6.034082591362611,NCEA,1.9103626345322837,1536,ALL,0.21333648480595646,1.3821586864511193,calibration,bowl_on_plate,0.39477103462051166
0.30040573067057014,0.9811197916666666,0.3769132936634286,task,1.0350212191319887,0.6976696662410783,4.985910172582577,NCEA,1.4489218089853786,1536,ALL,0.1399282462162175,1.203711680173196,calibration,plate_push,0.4331962017520064
0.25829280333167476,0.9010416666666666,0.23859942323756228,task,1.0465308864154725,0.42738795051021344,3.2048663928912724,NCEA,0.5457284538950932,1536,ALL,0.1333559337943711,0.7387343594927024,calibration,stove_turn_on,0.1605269496555115
0.5853877419885019,0.8912760416666666,0.31165593355852195,task,1.9995355604470806,2.544047441032793,9.758631905498094,NCEA,13.28851637225828,1536,ALL,0.26069714132771576,3.6453417360047715,calibration,wine_rack,0.6521775109195755
0.04857157139146298,1.0,0.35338018444183356,phase,0.9699330864968548,0.2896719613490859,1.9876816926227086,NCEA,0.13305909764826326,1536,free_space,0.14573357616775612,0.3647726657087442,calibration,ALL,0.34540881452404215
0.41930212813063195,0.82421875,0.4780269738931106,phase,1.035048518068709,0.6721215129558308,6.5071294405762075,NCEA,3.014252099287393,1536,pre_contact,0.1032900173715177,1.7361601594574716,calibration,ALL,0.22334330806448535
0.41904332007582196,0.7799479166666666,0.315336652474574,phase,1.0899136926094506,0.9311303536912116,7.943336473800389,NCEA,9.080781578332912,1536,contact_onset,0.11722156763248932,3.0134335198130575,calibration,ALL,-0.04675466810530264
0.6756716463406133,1.0,-0.006792844570949065,phase,2.039184446744208,3.0634711988580725,7.5453434553352485,NCEA,4.965436494402469,1536,post_contact,0.406008184649556,2.228325939893549,calibration,ALL,0.2658615941149793
0.3802048153924266,0.89794921875,0.43991114935653947,pooled,1.2153091660612318,1.4201203960401472,5.995872765583639,P3_mode_shuffled_atlas,4.067816996234197,6144,ALL,0.2368496550146378,2.0168829902188667,calibration,ALL,0.5375740470161197
0.44274255313537486,0.818359375,0.4509707017880341,task,1.077741143437658,1.8848338495590724,6.034082591362611,P3_mode_shuffled_atlas,2.0100930108561608,1536,ALL,0.3123646090388433,1.4177774898961264,calibration,bowl_on_plate,0.5616828199737633
0.3005407508234767,0.9811197916666666,0.3146961108879983,task,1.0415456891943118,0.7349929357878864,4.985910172582577,P3_mode_shuffled_atlas,1.4527507063261538,1536,ALL,0.14741399470644262,1.2053010853418136,calibration,plate_push,0.39298136995852223
0.2564756982964238,0.9010416666666666,0.13956854033726177,task,1.08738527452045,0.6447869350862069,3.2048663928912724,P3_mode_shuffled_atlas,0.5454308604944862,1536,ALL,0.20118995803270037,0.7385329109081641,calibration,stove_turn_on,0.3021985877931755
0.5210602593144312,0.8912760416666666,0.3794711767540323,task,1.6545645570925078,2.415867863727423,9.758631905498094,P3_mode_shuffled_atlas,12.262993407259989,1536,ALL,0.2475621467355791,3.5018557090862537,calibration,wine_rack,0.6515893690001189
0.04389945349988372,1.0,0.45589354089357204,phase,0.9363501443442613,0.46394897857680917,1.9876816926227086,P3_mode_shuffled_atlas,0.11802288307204926,1536,free_space,0.2334121103488342,0.34354458673081906,calibration,ALL,0.4930131968713111
0.42531915943437887,0.8118489583333334,0.3900255127855991,phase,1.0422185427125634,0.9357188470118368,6.5071294405762075,P3_mode_shuffled_atlas,3.0709166369844123,1536,pre_contact,0.14379902160498267,1.752403103450919,calibration,ALL,0.43497115964707805
0.42626828135338507,0.7799479166666666,0.2270492118673163,phase,1.1714418194594753,1.2558439495818068,7.943336473800389,P3_mode_shuffled_atlas,9.110537760373598,1536,contact_onset,0.15810030882161086,3.0183667372228973,calibration,ALL,-0.030758147255355733
0.6253323672820589,1.0,-0.021081686694510507,phase,1.7112261577286276,3.024969808990136,7.5453434553352485,P3_mode_shuffled_atlas,3.9717907045067293,1536,post_contact,0.4009055156861289,1.9929351982708141,calibration,ALL,0.3141223894479071
0.37965619681758556,0.9002278645833334,0.46738299116476434,pooled,1.1943669997277737,1.002672797330888,5.995872765583639,P4_state_shuffled_atlas,4.14881789787999,6144,ALL,0.1672271638394728,2.0368647225282266,calibration,ALL,0.4610333942642444
0.41132464507759986,0.8274739583333334,0.33032767402444374,task,1.0180612800387292,1.152547668859673,6.034082591362611,P4_state_shuffled_atlas,1.8942685991010857,1536,ALL,0.19100627997857844,1.3763243073858304,calibration,bowl_on_plate,0.4318433413106458
0.2980081701935581,0.9811197916666666,0.3672593534297322,task,1.020610349453764,0.6285794299619738,4.985910172582577,P4_state_shuffled_atlas,1.4447818494136306,1536,ALL,0.126071150141958,1.201990785910454,calibration,plate_push,0.42182444530569513
0.2564401309814539,0.9010416666666666,0.25082618364278314,task,1.0102512156352703,0.3792518914075724,3.2048663928912724,P4_state_shuffled_atlas,0.5405365843076774,1536,ALL,0.11833625646572743,0.735211931559654,calibration,stove_turn_on,0.1766448290967257
0.5528518410177304,0.8912760416666666,0.344537400870811,task,1.7285451537833307,1.8503121990943328,9.758631905498094,P4_state_shuffled_atlas,12.715684558697566,1536,ALL,0.18960774594355298,3.5659058538746597,calibration,wine_rack,0.6389545360743357
0.04511880093900022,1.0,0.5433778483084989,phase,0.9338085548773213,0.3426094725728035,1.9876816926227086,P4_state_shuffled_atlas,0.12308822796311525,1536,free_space,0.172366367232943,0.3508393192946242,calibration,ALL,0.4618714873493322
0.4183297326960396,0.8209635416666666,0.4276432220748147,phase,1.0291104449028676,0.738891719840467,6.5071294405762075,P4_state_shuffled_atlas,3.011327127611468,1536,pre_contact,0.11355110215466038,1.7353175869596515,calibration,ALL,0.3618930754473264
0.4187603475527646,0.7799479166666666,0.13571139476361002,phase,1.0622315371745126,0.7909449899064688,7.943336473800389,P4_state_shuffled_atlas,9.025047741557787,1536,contact_onset,0.0995733962063993,3.004171723047434,calibration,ALL,-0.15403071614083869
0.636415906082538,1.0,-0.07660009067857135,phase,1.7523174619563928,2.1382450070038126,7.5453434553352485,P4_state_shuffled_atlas,4.4358084943875875,1536,post_contact,0.2833860406303808,2.106135915459301,calibration,ALL,0.18885115508552344
0.36588705431353125,0.9033203125,0.4359743593482025,pooled,1.1376418581986434,0.7253736320150589,5.995872765583639,P5_effect_shuffled_atlas,4.052293787496598,6144,ALL,0.12097882332972604,2.0130309951653995,calibration,ALL,0.37194704166250686
0.4062681892756009,0.83984375,0.4235744913999733,task,1.0378331684929314,0.7688707188256861,6.034082591362611,P5_effect_shuffled_atlas,1.8760453001311552,1536,ALL,0.12742131172123392,1.3696880302211725,calibration,bowl_on_plate,0.4592736853064157
0.3016881990548517,0.9811197916666666,0.33574176488633256,task,1.0284947116457974,0.504927653450674,4.985910172582577,P5_effect_shuffled_atlas,1.4652530322914317,1536,ALL,0.10127090861509326,1.2104763658541342,calibration,plate_push,0.2177927210328197
0.2616414085887058,0.9010416666666666,0.029637697011347088,task,1.0439214841527218,0.2944181541582414,3.2048663928912724,P5_effect_shuffled_atlas,0.555231933993559,1536,ALL,0.09186596820737725,0.7451388689322004,calibration,stove_turn_on,0.08923329718199717
0.49395042033496644,0.8912760416666666,0.32511474892393705,task,1.4403180685031236,1.333278001625634,9.758631905498094,P5_effect_shuffled_atlas,12.312644883570249,1536,ALL,0.1366255039166355,3.5089378568977607,calibration,wine_rack,0.4335090600423008
0.05331107520469156,1.0,-0.023053328033374378,phase,1.0109430308851646,0.16385671379005848,1.9876816926227086,P5_effect_shuffled_atlas,0.14754590247949662,1536,free_space,0.08243609346416661,0.3841170426829518,calibration,ALL,-0.004839246867178543
0.4233621741020912,0.8333333333333334,0.20103770405989924,phase,1.0555429989767726,0.7298700345175652,6.5071294405762075,P5_effect_shuffled_atlas,3.0340782308564216,1536,pre_contact,0.11216467125524632,1.7418605658480306,calibration,ALL,0.09663570711801618
0.41473967917665516,0.7799479166666666,0.18983878128847811,phase,1.0461768859395215,0.5250223550053003,7.943336473800389,P5_effect_shuffled_atlas,9.03452501311607,1536,contact_onset,0.0660959480612446,3.0057486610021256,calibration,ALL,-0.08295386910052337
0.572135288770687,1.0,-0.15704886827706416,phase,1.4379045169931157,1.4827454247473117,7.5453434553352485,P5_effect_shuffled_atlas,3.993026003534405,1536,post_contact,0.19651132298011895,1.9982557402731025,calibration,ALL,0.09915076590676453
1.1328816106812838,0.7849934895833334,0.41629642041936976,pooled,27.343555622157425,61.79343067695396,5.995872765583639,P6_random_latent_atlas,1908.332857212061,6144,ALL,10.305994321902357,43.68446929072232,calibration,ALL,0.7487276539697292
1.6147048229271082,0.65234375,0.32315914287954667,task,16.847975606873714,71.8140142233567,6.034082591362611,P6_random_latent_atlas,486.6902403039085,1536,ALL,11.901397293791385,22.061057098514308,calibration,bowl_on_plate,0.8021736200591703
