action_reconstruction_rmse,balanced_task_effect_error,baseline_error,baseline_method,best_error,best_method,control_error,control_method,dimension,episode_id,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,gain_retention,linear_extrapolation_nrmse,mean_antithetic_asymmetry,mean_log_radius_scaling_deviation,method,n,phase,reproduced_gain,row_type,split,task_id,value
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.3373787862872662,P3_mode_shuffled_atlas,,,,,,,,0.0,,,,,,,False,,development,,
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.3458086172646396,P4_state_shuffled_atlas,,,,,,,,0.0,,,,,,,False,,development,,
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.4179532330478973,P5_effect_shuffled_atlas,,,,,,,,0.0,,,,,,,False,,development,,
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.36531783433210313,P6_random_latent_atlas,,,,,,,,0.0,,,,,,,False,,development,,
0.015883918399872732,0.37061748285074253,,,,,,,task,,0.41588241583300417,1.0034370420269394,0.0,0.2364751382913504,0.19729281810241894,,,,,B2_phase_residual,1536,,,quantization_decomposition,,,stove_turn_on
0.015874853057663573,0.3152673732795818,,,,,,,task,,0.839518109736464,0.043604491914254195,0.2838796119501781,0.011311769647383209,0.3980228831496298,,,,,B2_phase_residual,1536,,,quantization_decomposition,,,wine_rack
0.01685073066310616,0.051774791511618616,,,,,,,phase,,0.0,2.004390101660451e-08,1.2938843852462063e-29,0.0,0.258873937514192,,,,,B2_phase_residual,1536,,,quantization_decomposition,,,free_space
0.015335927313493522,0.4510000238289778,,,,,,,phase,,1.25583391388974,0.3302899452090908,0.2083580220171025,0.10427683992391472,0.3562413981050412,,,,,B2_phase_residual,1536,,,quantization_decomposition,,,pre_contact
0.015486482367939184,0.3933027526321706,,,,,,,phase,,0.9423402107897972,0.4635461667020118,0.2253382241739211,0.09585842216788232,0.23943073932724102,,,,,B2_phase_residual,1536,,,quantization_decomposition,,,contact_onset
0.015589679662832165,0.43431591410713777,,,,,,,phase,,0.9105031439187039,0.5668744965800272,0.2679604944838692,0.1660141905980742,0.26022724495501437,,,,,B2_phase_residual,1536,,,quantization_decomposition,,,post_contact
0.015901707999033145,0.3313882591985447,,,,,,,direction_family,,0.7763025393531224,0.3365314655086152,0.1802597932598553,0.08154562905394148,0.28230186881718916,,,,,B2_phase_residual,3072,,,quantization_decomposition,,,0
0.014292976392864096,0.35204963600695766,,,,,,,direction_family,,0.7744537599779905,0.3818639436512224,0.1782798650697933,0.12240073010134551,0.30324988123443664,,,,,B2_phase_residual,1536,,,quantization_decomposition,,,1
0.017166427616440643,0.3155673276758578,,,,,,,direction_family,,0.781618429914006,0.30578375386657797,0.16285728908538885,0.08065746448064275,0.2469197010326737,,,,,B2_phase_residual,1536,,,quantization_decomposition,,,2
0.019439208017403464,0.3873996520843181,,,,,,,task,,0.9131012266765373,0.20253071467886877,0.2959669666294105,0.1361679314761188,0.38923142096065505,,,,,B3_dynamic_action_medoids,1536,,,quantization_decomposition,,,bowl_on_plate
