B2_error,C3_FULL_error,C3_K64_error,C5_error,O_FULL_error,O_K64_error,c4_override_loss,consequence_group,direction_family_id,learned_compression_loss,learned_metric_loss,level,n_targets,oracle_bank_compression_loss,phase,split,task_id
0.271354718426,0.209903079091,0.262195590398,0.351927746391,0.0250126370066,0.0989227964742,0.0897321559931,contact_mode_and_penetration,ALL,0.0522925113074,0.184890442084,task,1536,0.0739101594675,ALL,DEVELOPMENT_EPISODES_36_39,stove_turn_on
0.753522914532,0.364982751829,0.492979729655,0.853178950489,0.0377983232203,0.218121462314,0.360199220834,gripper_and_articulation,ALL,0.127996977826,0.327184428609,task,1536,0.180323139094,ALL,DEVELOPMENT_EPISODES_36_39,stove_turn_on
0.152471571889,0.0554545839563,0.102142512777,0.160553747767,0.00723866537245,0.0223005213194,0.0584112349908,task_progress_and_constraint,ALL,0.0466879288203,0.0482159185838,task,1536,0.015061855947,ALL,DEVELOPMENT_EPISODES_36_39,stove_turn_on
0.200999348661,0.160287928464,0.202212733103,0.239798904864,0.0283265124975,0.0850656903923,0.0375861717611,BALANCED_TASK_EFFECT,ALL,0.0419248046384,0.131961415967,task,1536,0.0567391778948,ALL,DEVELOPMENT_EPISODES_36_39,wine_rack
0.187481372342,0.129524061929,0.189545916221,0.254175365713,0.0456210415486,0.0875577028623,0.0646294494918,object_pose,ALL,0.0600218542921,0.08390302038,task,1536,0.0419366613137,ALL,DEVELOPMENT_EPISODES_36_39,wine_rack
0.216311149668,0.151614313659,0.222053615452,0.287780292644,0.0595392296979,0.110010202876,0.065726677192,tcp_object_relative_pose,ALL,0.070439301793,0.0920750839612,task,1536,0.0504709731778,ALL,DEVELOPMENT_EPISODES_36_39,wine_rack
0.457302157185,0.401175988094,0.480449553603,0.523185098075,0.0304872604887,0.206119938432,0.0427355444711,contact_mode_and_penetration,ALL,0.0792735655098,0.370688727605,task,1536,0.175632677944,ALL,DEVELOPMENT_EPISODES_36_39,wine_rack
0.0880879480592,0.0662141669315,0.0800482794161,0.0896300507469,0.00533140005375,0.0199031358364,0.00958177133073,gripper_and_articulation,ALL,0.0138341124846,0.0608827668778,task,1536,0.0145717357827,ALL,DEVELOPMENT_EPISODES_36_39,wine_rack
0.0558141160489,0.0529111117086,0.0389663008209,0.0442237171405,0.000653630698631,0.00173747195473,0.00525741631966,task_progress_and_constraint,ALL,-0.0139448108877,0.0522574810099,task,1536,0.0010838412561,ALL,DEVELOPMENT_EPISODES_36_39,wine_rack
0.400395304674,0.316147492442,0.385115892261,0.493802328462,0.0473227718444,0.176885586514,0.108686436201,BALANCED_TASK_EFFECT,ALL,0.0689683998194,0.268824720597,phase,1536,0.129562814669,contact_onset,DEVELOPMENT_EPISODES_36_39,ALL
0.285599880804,0.227325709165,0.292719440625,0.422789435263,0.0758222726877,0.127750060922,0.130069994638,object_pose,ALL,0.06539373146,0.151503436477,phase,1536,0.0519277882348,contact_onset,DEVELOPMENT_EPISODES_36_39,ALL
0.261084732269,0.220787073692,0.283409583531,0.39086683736,0.0602489025247,0.102375684088,0.107457253829,tcp_object_relative_pose,ALL,0.0626225098385,0.160538171168,phase,1536,0.0421267815636,contact_onset,DEVELOPMENT_EPISODES_36_39,ALL
