action_reconstruction_rmse,balanced_task_effect_error,contact_mode_preserved,distance_spearman_with_correct,intervention,level,mean_abs_distance_change,n_targets,ndcg_at_16,oracle_regret,phase,recall_at_8,relative_mean_abs_distance_change,selected_code_changed,split,task_id,task_progress_abs_error
0.0200144330255,0.182035794431,0.981119791667,0.734776237048,all_context_zeroed_action_pair_retained,task,0.188551134275,1536,0.606882133012,0.157474380704,ALL,0.287109375,1.11082822323,0.72265625,DEVELOPMENT_EPISODES_36_39,stove_turn_on,0.00146891619889
0.0205325198173,0.135515801366,0.973958333333,1,correct_context,task,0,1536,0.704717605879,0.110954387708,ALL,0.420654296875,0,0,DEVELOPMENT_EPISODES_36_39,stove_turn_on,0.00106503559325
0.0197300363973,0.161900740773,0.972005208333,0.869538647475,history_actions_masks_shuffled_within_task,task,0.188083886341,1536,0.639420331118,0.137339326947,ALL,0.346272786458,0.939769200692,0.439453125,DEVELOPMENT_EPISODES_36_39,stove_turn_on,0.00154507559826
0.0204905728472,0.137189691884,0.973307291667,0.969685692997,nominal_shuffled_within_task,task,0.0354530615539,1536,0.700745870177,0.112628278186,ALL,0.395751953125,0.281901351323,0.214192708333,DEVELOPMENT_EPISODES_36_39,stove_turn_on,0.00105090512829
0.0204375868634,0.136356954945,0.973307291667,0.995388480782,nominal_zeroed,task,0.0220270097847,1536,0.702466353923,0.111795541115,ALL,0.413248697917,0.0874568969047,0.149088541667,DEVELOPMENT_EPISODES_36_39,stove_turn_on,0.00108566986758
0.019467710341,0.185551674048,0.971354166667,0.794740689217,state_and_nominal_jointly_shuffled,task,0.16343124217,1536,0.597279435201,0.160990260141,ALL,0.265625,0.798757511735,0.649739583333,DEVELOPMENT_EPISODES_36_39,stove_turn_on,0.0015781723929
0.0192314930614,0.184967595776,0.970703125,0.803644481474,state_mask_contact_shuffled_within_task,task,0.158945249933,1536,0.602790288775,0.16040618199,ALL,0.267171223958,0.761982802233,0.632161458333,DEVELOPMENT_EPISODES_36_39,stove_turn_on,0.00155462851538
0.0200144330255,0.174388325686,0.96875,0.825530660428,all_context_zeroed_action_pair_retained,task,0.0880902382511,1536,0.673317129292,0.146061812464,ALL,0.309814453125,1.2319593422,0.604166666667,DEVELOPMENT_EPISODES_36_39,wine_rack,0.0117579702227
0.0190988509608,0.160287928464,0.97265625,1,correct_context,task,0,1536,0.713633036893,0.131961415983,ALL,0.418619791667,0,0,DEVELOPMENT_EPISODES_36_39,wine_rack,0.0096963690375
0.0192451324659,0.17389886571,0.969401041667,0.932691409992,history_actions_masks_shuffled_within_task,task,0.064327952623,1536,0.707505842729,0.145572352918,ALL,0.388753255208,0.668376701836,0.369791666667,DEVELOPMENT_EPISODES_36_39,wine_rack,0.0102904837228
0.0191166346514,0.162399270759,0.975260416667,0.995909780597,nominal_shuffled_within_task,task,0.0118003554985,1536,0.712399895985,0.134072758383,ALL,0.418131510417,0.0618151005712,0.09375,DEVELOPMENT_EPISODES_36_39,wine_rack,0.00968411228047
0.0190718053012,0.160337558429,0.97265625,0.998608666079,nominal_zeroed,task,0.00593250828521,1536,0.713292610527,0.132011046009,ALL,0.4189453125,0.0329766924218,0.07421875,DEVELOPMENT_EPISODES_36_39,wine_rack,0.0096897553708
0.0191180254367,0.161693070308,0.970052083333,0.943976787795,state_and_nominal_jointly_shuffled,task,0.0517392520575,1536,0.710595824488,0.133366557525,ALL,0.391357421875,0.577518828013,0.348958333333,DEVELOPMENT_EPISODES_36_39,wine_rack,0.00970379642078
0.0190690130049,0.160628083076,0.97265625,0.94241411248,state_mask_contact_shuffled_within_task,task,0.0588495799515,1536,0.71218174342,0.13230157032,ALL,0.392659505208,0.604335023995,0.340494791667,DEVELOPMENT_EPISODES_36_39,wine_rack,0.0102915896365
0.0200144330255,0.360099795863,0.977213541667,0.756557579958,all_context_zeroed_action_pair_retained,phase,0.0806919149133,1536,0.400180527132,0.312777023827,contact_onset,0.177571614583,0.552345884514,0.643880208333,DEVELOPMENT_EPISODES_36_39,ALL,0.000903491251718
0.0187006798583,0.316147492442,0.984375,1,correct_context,phase,0,1536,0.461161415857,0.268824720982,contact_onset,0.222981770833,0,0,DEVELOPMENT_EPISODES_36_39,ALL,0.000830439692356
0.0190160035143,0.332220887456,0.983072916667,0.900397678246,history_actions_masks_shuffled_within_task,phase,0.0805402791194,1536,0.444615896202,0.284898116228,contact_onset,0.213216145833,0.624768108542,0.307291666667,DEVELOPMENT_EPISODES_36_39,ALL,0.000884990392342
0.0187518248685,0.317444325543,0.984375,0.997956882487,nominal_shuffled_within_task,phase,0.00632006303172,1536,0.459200967626,0.270121554205,contact_onset,0.221598307292,0.0418128245155,0.05078125,DEVELOPMENT_EPISODES_36_39,ALL,0.000834510705294
0.0187045461062,0.318358563428,0.984375,0.999336414624,nominal_zeroed,phase,0.00379906707266,1536,0.460850654745,0.271035791964,contact_onset,0.222737630208,0.0225926234417,0.0462239583333,DEVELOPMENT_EPISODES_36_39,ALL,0.000839324684617
0.0194073721357,0.347175602577,0.98046875,0.917479627496,state_and_nominal_jointly_shuffled,phase,0.055854696018,1536,0.440157863187,0.299852829975,contact_onset,0.208740234375,0.366774088662,0.409505208333,DEVELOPMENT_EPISODES_36_39,ALL,0.000862691006961
0.0193258958932,0.347573111621,0.98046875,0.919135784215,state_mask_contact_shuffled_within_task,phase,0.0537848153608,1536,0.441045718544,0.300250339164,contact_onset,0.209309895833,0.343873433161,0.401041666667,DEVELOPMENT_EPISODES_36_39,ALL,0.000854600684336
0.0200144330255,0.0153337090304,1,0.83729791372,all_context_zeroed_action_pair_retained,phase,0.0934410950625,1536,0.954664109799,0.00587812676266,free_space,0.548583984375,1.92410958139,0.641927083333,DEVELOPMENT_EPISODES_36_39,ALL,5.78241158659e-19
0.0211604053303,0.0111321436318,1,1,correct_context,phase,0,1536,0.989268641417,0.0016765613572,free_space,0.76611328125,0,0,DEVELOPMENT_EPISODES_36_39,ALL,5.05961013827e-19
0.0198979528839,0.0128852058141,1,0.942931550151,history_actions_masks_shuffled_within_task,phase,0.0607021450174,1536,0.974679334886,0.00342962352215,free_space,0.659912109375,1.34405076337,0.3359375,DEVELOPMENT_EPISODES_36_39,ALL,4.33680868994e-19
0.0209236754094,0.0116099386261,1,0.988739819742,nominal_shuffled_within_task,phase,0.00722843908235,1536,0.986260160402,0.00215435634622,free_space,0.740641276042,0.145290820654,0.15234375,DEVELOPMENT_EPISODES_36_39,ALL,3.61400724162e-19
0.0209440360373,0.0111170279648,1,0.997998985079,nominal_zeroed,phase,0.00165792318371,1536,0.988854630005,0.00166144568542,free_space,0.763427734375,0.0349719834133,0.111979166667,DEVELOPMENT_EPISODES_36_39,ALL,5.05961013827e-19
0.0200225974778,0.0160169853395,1,0.891027222087,state_and_nominal_jointly_shuffled,phase,0.0434125119163,1536,0.956315331332,0.00656140305792,free_space,0.584716796875,0.848185305692,0.470703125,DEVELOPMENT_EPISODES_36_39,ALL,4.33680868994e-19
0.0200192522929,0.0155499576913,1,0.903413192364,state_mask_contact_shuffled_within_task,phase,0.0345065885016,1536,0.958766245008,0.00609437541342,free_space,0.599283854167,0.684285946061,0.41796875,DEVELOPMENT_EPISODES_36_39,ALL,3.61400724162e-19
0.0200144330255,0.280332826851,1,0.75381254029,all_context_zeroed_action_pair_retained,phase,0.207278340582,1536,0.459321383016,0.239935639324,post_contact,0.199381510417,0.869298886614,0.668619791667,DEVELOPMENT_EPISODES_36_39,ALL,0.0150326637524
0.0196562779572,0.238260935529,1,1,correct_context,phase,0,1536,0.576025338654,0.197863748125,post_contact,0.306966145833,0,0,DEVELOPMENT_EPISODES_36_39,ALL,0.0131006798068
0.0192536664738,0.263093699908,1,0.905365128766,history_actions_masks_shuffled_within_task,phase,0.163024135665,1536,0.513626536127,0.222696512276,post_contact,0.266031901042,0.375995967936,0.369791666667,DEVELOPMENT_EPISODES_36_39,ALL,0.01384282463
0.0195784857607,0.240323562348,1,0.997693675766,nominal_shuffled_within_task,phase,0.0220838029648,1536,0.575261965343,0.199926374972,post_contact,0.306884765625,0.0520289649843,0.0703125,DEVELOPMENT_EPISODES_36_39,ALL,0.0131449785266
0.0196160005494,0.237624206705,1,0.997641895655,nominal_zeroed,phase,0.0233746649566,1536,0.575953094746,0.197227019349,post_contact,0.306315104167,0.053882185011,0.0709635416667,DEVELOPMENT_EPISODES_36_39,ALL,0.0131011642165
0.0188653459241,0.282042697324,1,0.800901231311,state_and_nominal_jointly_shuffled,phase,0.210080863768,1536,0.469948625337,0.24164551008,post_contact,0.221354166667,0.887509697672,0.546875,DEVELOPMENT_EPISODES_36_39,ALL,0.0131921840031
0.0189147487054,0.278444100147,1,0.813921870351,state_mask_contact_shuffled_within_task,phase,0.207078753734,1536,0.475892919047,0.238046912683,post_contact,0.225016276042,0.885333127723,0.537109375,DEVELOPMENT_EPISODES_36_39,ALL,0.0136924354248
0.0200144330255,0.378445069576,0.866536458333,0.761939948572,all_context_zeroed_action_pair_retained,phase,0.0831537439929,1536,0.411928244377,0.314901535719,pre_contact,0.185384114583,0.779001864451,0.643880208333,DEVELOPMENT_EPISODES_36_39,ALL,0.000901306326161
0.0196792903488,0.352429458908,0.858723958333,1,correct_context,phase,0,1536,0.45195257369,0.28888592574,pre_contact,0.216471354167,0,0,DEVELOPMENT_EPISODES_36_39,ALL,0.000823215373352
