evidence_set,scope,method,baseline,baseline_error,method_error,relative_improvement,gain_retention_vs_reca,clipped_coordinate_rate,action_reconstruction_error,infeasible_token_rate,internal_screen_pass
old_test_internal_screen,pooled,M0_frozen_caaa_v2,M1_covariance_mahalanobis,73693.26097155726,102892.54804929986,-0.3962273713062093,-0.7789029954788618,0.6320393880208334,0.7747184370038508,0.0,
old_test_internal_screen,pooled,M2_centered_covariance_residual,M1_covariance_mahalanobis,73693.26097155726,2211.808247779896,0.9699862888597972,1.9067971591049966,0.0,5.3566776766711025e-17,0.0,False
old_test_internal_screen,pooled,M3_cara,M1_covariance_mahalanobis,73693.26097155726,165249.55673965285,-1.2423971277839472,-2.4423018561668095,0.06449381510416667,0.10223272379044723,0.0,False
old_test_internal_screen,pooled,M4_reca,M1_covariance_mahalanobis,73693.26097155726,36205.55422600653,0.5086992521611919,1.0,0.0,0.028604642669134105,0.01025390625,False
old_test_internal_screen,pooled,M5_phase_residual_kmeans,M1_covariance_mahalanobis,73693.26097155726,1613.889794812955,0.978099899861456,1.9227468798234535,0.0,1.07434049420612e-17,0.0,False
old_test_internal_screen,pooled,M6_permuted_j_reca,M1_covariance_mahalanobis,73693.26097155726,30817.961422601104,0.5818076033506558,1.1437162545037476,0.0,0.028604642669134105,0.01025390625,
old_test_internal_screen,pooled,M7_random_spd_constrained,M1_covariance_mahalanobis,73693.26097155726,36211.426978061085,0.5086195603145138,0.9998433419228757,0.0,0.023752070940348608,0.00927734375,
old_test_internal_screen,pooled,O1_true_effect_oracle,M1_covariance_mahalanobis,73693.26097155726,2479.8444410734705,0.9663491015544747,1.8996471833779438,0.0,0.018360775243199116,0.0,
old_test_internal_screen,pooled,O2_linear_j_oracle,M1_covariance_mahalanobis,73693.26097155726,35365.23120462442,0.5201022354232089,1.022415962306946,0.0,0.01745030178216082,0.0,
old_test_internal_screen,bowl_on_plate,M0_frozen_caaa_v2,M1_covariance_mahalanobis,92841.81106361096,152841.13969040054,-0.6462533199151057,-5.536424059969306,0.72998046875,0.7990411059971536,0.0,
old_test_internal_screen,bowl_on_plate,M2_centered_covariance_residual,M1_covariance_mahalanobis,92841.81106361096,1045.2866701564776,0.9887412076716137,8.470502885703285,0.0,5.308640722975755e-17,0.0,False
old_test_internal_screen,bowl_on_plate,M3_cara,M1_covariance_mahalanobis,92841.81106361096,297726.91210092016,-2.206819305764418,-18.905724928490695,0.13975694444444445,0.1951907125645572,0.0,False
old_test_internal_screen,bowl_on_plate,M4_reca,M1_covariance_mahalanobis,92841.81106361096,82004.6121827286,0.11672756871855088,1.0,0.0,0.028431873803525774,0.009765625,False
old_test_internal_screen,bowl_on_plate,M5_phase_residual_kmeans,M1_covariance_mahalanobis,92841.81106361096,1147.0485161852532,0.9876451298930462,8.461112835087134,0.0,1.0487882004367332e-17,0.0,False
old_test_internal_screen,bowl_on_plate,M6_permuted_j_reca,M1_covariance_mahalanobis,92841.81106361096,73894.49625309724,0.20408170191264244,1.748359056502895,0.0,0.028431873803525774,0.009765625,
old_test_internal_screen,bowl_on_plate,M7_random_spd_constrained,M1_covariance_mahalanobis,92841.81106361096,75496.10731128066,0.18683073448928972,1.6005707695306235,0.0,0.023490939021816797,0.0078125,
old_test_internal_screen,bowl_on_plate,O1_true_effect_oracle,M1_covariance_mahalanobis,92841.81106361096,6780.3562271031615,0.9269687207797189,7.94130067948893,0.0,0.018275505466447666,0.0,
old_test_internal_screen,bowl_on_plate,O2_linear_j_oracle,M1_covariance_mahalanobis,92841.81106361096,71576.69194472453,0.22904679341419293,1.96223390865325,0.0,0.017138197936603632,0.0,
old_test_internal_screen,plate_push,M0_frozen_caaa_v2,M1_covariance_mahalanobis,429.8537001721659,1143.2144187016222,-1.6595430450959003,-2.025783209555928,1.0,1.0664808367804526,0.0,
old_test_internal_screen,plate_push,M2_centered_covariance_residual,M1_covariance_mahalanobis,429.8537001721659,0.0417323933600293,0.9999029148909424,1.2205688440308267,0.0,5.510729239788491e-17,0.0,False
old_test_internal_screen,plate_push,M3_cara,M1_covariance_mahalanobis,429.8537001721659,72.34585204578474,0.8316965702125895,1.0152414861191832,0.0,0.032074371258792714,0.0,False
old_test_internal_screen,plate_push,M4_reca,M1_covariance_mahalanobis,429.8537001721659,77.71299964487092,0.8192105834758543,1.0,0.0,0.0287112067443967,0.01171875,False
old_test_internal_screen,plate_push,M5_phase_residual_kmeans,M1_covariance_mahalanobis,429.8537001721659,0.06067207151391273,0.9998588541369084,1.2205150596255432,0.0,1.0153546822612783e-17,0.0,False
